id,position,company,logo,level,openings,closingDate,location,employeeType,salary,experience,ageLimit,education,description,responsibilities,qualifications,preferredFaculties,companyInfo_name,companyInfo_description,companyInfo_employees,companyInfo_industry,companyInfo_website
11,Registered Nurse,Tech Corp,/techcorp.png,Mid Level,4,2025-11-10,"Tokyo, Japan",Part-time,56000 - 100000,1-3 years,,Bachelor's degree,We are looking for a Registered Nurse to join our team at Tech Corp.,Perform key responsibilities related to Registered Nurse. | Collaborate with cross-functional teams. | Ensure high-quality outcomes and timely delivery.,Relevant degree or certification. | Experience in technology or related field. | Strong communication and problem-solving skills.,Education | Mechanical Engineering | Medicine,Tech Corp,Tech Corp is a leader in the Technology industry.,1000-5000,Technology,https://techcorp.com
12,Physician Assistant,BuildRight,/buildright.png,Entry Level,3,2025-09-10,"Berlin, Germany",Part-time,55000 - 76000,3-5 years,25-35 years,Master's degree,We are looking for a Physician Assistant to join our team at BuildRight.,Perform key responsibilities related to Physician Assistant. | Collaborate with cross-functional teams. | Ensure high-quality outcomes and timely delivery.,Relevant degree or certification. | Experience in construction or related field. | Strong communication and problem-solving skills.,Finance | Computer Science | Education,BuildRight,BuildRight is a leader in the Construction industry.,100-500,Construction,https://buildright.com
13,Clinical Research Coordinator,DesignHub,/designhub.png,Senior Level,5,2025-11-09,"Sydney, Australia",Internship,51000 - 62000,5-10 years,25-35 years,PhD,We are looking for a Clinical Research Coordinator to join our team at DesignHub.,Perform key responsibilities related to Clinical Research Coordinator. | Collaborate with cross-functional teams. | Ensure high-quality outcomes and timely delivery.,Relevant degree or certification. | Experience in creative or related field. | Strong communication and problem-solving skills.,Business Administration | Software Engineering | Finance,DesignHub,DesignHub is a leader in the Creative industry.,500-1000,Creative,https://designhub.com
14,Pharmacist,EduWorld,/eduworld.png,Entry Level,2,2025-11-13,"Sydney, Australia",Full-time,34000 - 94000,3-5 years,,Master's degree,We are looking for a Pharmacist to join our team at EduWorld.,Perform key responsibilities related to Pharmacist. | Collaborate with cross-functional teams. | Ensure high-quality outcomes and timely delivery.,Relevant degree or certification. | Experience in education or related field. | Strong communication and problem-solving skills.,Medicine | Civil Engineering | Information Technology,EduWorld,EduWorld is a leader in the Education industry.,500-1000,Education,https://eduworld.com
15,High School Teacher,Tech Corp,/techcorp.png,Entry Level,4,2025-11-22,"Tokyo, Japan",Full-time,53000 - 74000,1-3 years,,Bachelor's degree,We are looking for a High School Teacher to join our team at Tech Corp.,Perform key responsibilities related to High School Teacher. | Collaborate with cross-functional teams. | Ensure high-quality outcomes and timely delivery.,Relevant degree or certification. | Experience in technology or related field. | Strong communication and problem-solving skills.,Marketing | Medicine | Information Technology,Tech Corp,Tech Corp is a leader in the Technology industry.,100-500,Technology,https://techcorp.com
16,University Lecturer,DesignHub,/designhub.png,Senior Level,3,2025-10-16,"Sydney, Australia",Contract,30000 - 80000,1-3 years,,Master's degree,We are looking for a University Lecturer to join our team at DesignHub.,Perform key responsibilities related to University Lecturer. | Collaborate with cross-functional teams. | Ensure high-quality outcomes and timely delivery.,Relevant degree or certification. | Experience in creative or related field. | Strong communication and problem-solving skills.,Medicine | Software Engineering | Finance,DesignHub,DesignHub is a leader in the Creative industry.,1000-5000,Creative,https://designhub.com
17,School Counselor,FinEdge,/finedge.png,Mid Level,4,2025-11-01,"Toronto, Canada",Internship,53000 - 76000,5-10 years,30-45 years,Bachelor's degree,We are looking for a School Counselor to join our team at FinEdge.,Perform key responsibilities related to School Counselor. | Collaborate with cross-functional teams. | Ensure high-quality outcomes and timely delivery.,Relevant degree or certification. | Experience in finance or related field. | Strong communication and problem-solving skills.,Computer Science | Education | Software Engineering,FinEdge,FinEdge is a leader in the Finance industry.,1000-5000,Finance,https://finedge.com
18,Mechanical Engineer,DesignHub,/designhub.png,Entry Level,2,2025-10-21,"New York, USA",Full-time,40000 - 80000,3-5 years,30-45 years,PhD,We are looking for a Mechanical Engineer to join our team at DesignHub.,Perform key responsibilities related to Mechanical Engineer. | Collaborate with cross-functional teams. | Ensure high-quality outcomes and timely delivery.,Relevant degree or certification. | Experience in creative or related field. | Strong communication and problem-solving skills.,Medicine | Business Administration | Finance,DesignHub,DesignHub is a leader in the Creative industry.,100-500,Creative,https://designhub.com
19,Civil Engineer,FinEdge,/finedge.png,Mid Level,1,2025-11-16,"London, UK",Full-time,45000 - 78000,3-5 years,30-45 years,Master's degree,We are looking for a Civil Engineer to join our team at FinEdge.,Perform key responsibilities related to Civil Engineer. | Collaborate with cross-functional teams. | Ensure high-quality outcomes and timely delivery.,Relevant degree or certification. | Experience in finance or related field. | Strong communication and problem-solving skills.,Mechanical Engineering | Finance | Marketing,FinEdge,FinEdge is a leader in the Finance industry.,1000-5000,Finance,https://finedge.com
20,Electrical Engineer,DesignHub,/designhub.png,Senior Level,4,2025-10-18,"New York, USA",Part-time,45000 - 78000,5-10 years,30-45 years,PhD,We are looking for a Electrical Engineer to join our team at DesignHub.,Perform key responsibilities related to Electrical Engineer. | Collaborate with cross-functional teams. | Ensure high-quality outcomes and timely delivery.,Relevant degree or certification. | Experience in creative or related field. | Strong communication and problem-solving skills.,Education | Civil Engineering | Mechanical Engineering,DesignHub,DesignHub is a leader in the Creative industry.,500-1000,Creative,https://designhub.com
21,Architect,Tech Corp,/techcorp.png,Mid Level,4,2025-10-02,"Berlin, Germany",Full-time,56000 - 96000,1-3 years,30-45 years,Master's degree,We are looking for a Architect to join our team at Tech Corp.,Perform key responsibilities related to Architect. | Collaborate with cross-functional teams. | Ensure high-quality outcomes and timely delivery.,Relevant degree or certification. | Experience in technology or related field. | Strong communication and problem-solving skills.,Finance | Mechanical Engineering | Business Administration,Tech Corp,Tech Corp is a leader in the Technology industry.,500-1000,Technology,https://techcorp.com
22,Construction Project Manager,EduWorld,/eduworld.png,Mid Level,1,2025-11-04,"Berlin, Germany",Internship,37000 - 74000,5-10 years,25-35 years,Bachelor's degree,We are looking for a Construction Project Manager to join our team at EduWorld.,Perform key responsibilities related to Construction Project Manager. | Collaborate with cross-functional teams. | Ensure high-quality outcomes and timely delivery.,Relevant degree or certification. | Experience in education or related field. | Strong communication and problem-solving skills.,Marketing | Computer Science | Education,EduWorld,EduWorld is a leader in the Education industry.,1000-5000,Education,https://eduworld.com
23,Graphic Designer,EduWorld,/eduworld.png,Mid Level,1,2025-10-05,"Sydney, Australia",Full-time,58000 - 76000,1-3 years,25-35 years,PhD,We are looking for a Graphic Designer to join our team at EduWorld.,Perform key responsibilities related to Graphic Designer. | Collaborate with cross-functional teams. | Ensure high-quality outcomes and timely delivery.,Relevant degree or certification. | Experience in education or related field. | Strong communication and problem-solving skills.,Finance | Information Technology | Business Administration,EduWorld,EduWorld is a leader in the Education industry.,1000-5000,Education,https://eduworld.com
24,Marketing Specialist,EduWorld,/eduworld.png,Senior Level,1,2025-10-11,"Tokyo, Japan",Full-time,34000 - 91000,3-5 years,30-45 years,Master's degree,We are looking for a Marketing Specialist to join our team at EduWorld.,Perform key responsibilities related to Marketing Specialist. | Collaborate with cross-functional teams. | Ensure high-quality outcomes and timely delivery.,Relevant degree or certification. | Experience in education or related field. | Strong communication and problem-solving skills.,Civil Engineering | Education | Medicine,EduWorld,EduWorld is a leader in the Education industry.,100-500,Education,https://eduworld.com
25,Social Media Manager,BuildRight,/buildright.png,Entry Level,4,2025-10-31,"London, UK",Full-time,39000 - 72000,5-10 years,25-35 years,PhD,We are looking for a Social Media Manager to join our team at BuildRight.,Perform key responsibilities related to Social Media Manager. | Collaborate with cross-functional teams. | Ensure high-quality outcomes and timely delivery.,Relevant degree or certification. | Experience in construction or related field. | Strong communication and problem-solving skills.,Education | Finance | Information Technology,BuildRight,BuildRight is a leader in the Construction industry.,500-1000,Construction,https://buildright.com
26,Content Writer,Health Plus,/healthplus.png,Mid Level,5,2025-09-21,"Tokyo, Japan",Part-time,54000 - 98000,5-10 years,30-45 years,Master's degree,We are looking for a Content Writer to join our team at Health Plus.,Perform key responsibilities related to Content Writer. | Collaborate with cross-functional teams. | Ensure high-quality outcomes and timely delivery.,Relevant degree or certification. | Experience in healthcare or related field. | Strong communication and problem-solving skills.,Marketing | Civil Engineering | Information Technology,Health Plus,Health Plus is a leader in the Healthcare industry.,100-500,Healthcare,https://healthplus.com
27,Human Resources Manager,Health Plus,/healthplus.png,Entry Level,5,2025-10-31,"Tokyo, Japan",Contract,56000 - 75000,1-3 years,,Master's degree,We are looking for a Human Resources Manager to join our team at Health Plus.,Perform key responsibilities related to Human Resources Manager. | Collaborate with cross-functional teams. | Ensure high-quality outcomes and timely delivery.,Relevant degree or certification. | Experience in healthcare or related field. | Strong communication and problem-solving skills.,Computer Science | Civil Engineering | Marketing,Health Plus,Health Plus is a leader in the Healthcare industry.,1000-5000,Healthcare,https://healthplus.com
28,Financial Analyst,EduWorld,/eduworld.png,Entry Level,4,2025-09-17,"Tokyo, Japan",Internship,40000 - 87000,1-3 years,25-35 years,Bachelor's degree,We are looking for a Financial Analyst to join our team at EduWorld.,Perform key responsibilities related to Financial Analyst. | Collaborate with cross-functional teams. | Ensure high-quality outcomes and timely delivery.,Relevant degree or certification. | Experience in education or related field. | Strong communication and problem-solving skills.,Marketing | Finance | Business Administration,EduWorld,EduWorld is a leader in the Education industry.,1000-5000,Education,https://eduworld.com
29,Accountant,EduWorld,/eduworld.png,Senior Level,2,2025-10-31,"Toronto, Canada",Internship,33000 - 72000,3-5 years,30-45 years,PhD,We are looking for a Accountant to join our team at EduWorld.,Perform key responsibilities related to Accountant. | Collaborate with cross-functional teams. | Ensure high-quality outcomes and timely delivery.,Relevant degree or certification. | Experience in education or related field. | Strong communication and problem-solving skills.,Mechanical Engineering | Education | Business Administration,EduWorld,EduWorld is a leader in the Education industry.,1000-5000,Education,https://eduworld.com
30,Customer Success Manager,Health Plus,/healthplus.png,Mid Level,4,2025-11-15,"Toronto, Canada",Part-time,31000 - 89000,1-3 years,30-45 years,Bachelor's degree,We are looking for a Customer Success Manager to join our team at Health Plus.,Perform key responsibilities related to Customer Success Manager. | Collaborate with cross-functional teams. | Ensure high-quality outcomes and timely delivery.,Relevant degree or certification. | Experience in healthcare or related field. | Strong communication and problem-solving skills.,Mechanical Engineering | Medicine | Business Administration,Health Plus,Health Plus is a leader in the Healthcare industry.,1000-5000,Healthcare,https://healthplus.com
31,Data Analyst,Tech Corp,/techcorp.png,Entry Level,5,2025-12-01,"San Francisco, USA",Full-time,60000 - 80000,1-3 years,,Bachelor's degree,We are looking for a Data Analyst to join our team at Tech Corp.,"Interpret data, analyze results using statistical techniques. | Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality. | Acquire data from primary or secondary data sources and maintain databases/data systems.","Proven working experience as a data analyst or business data analyst. | Technical expertise regarding data models, database design development, data mining and segmentation techniques. | Strong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL etc), programming (XML, Javascript, or ETL frameworks).",Computer Science | Statistics | Mathematics,Tech Corp,Tech Corp is a leader in the Technology industry.,1000-5000,Technology,https://techcorp.com
32,Business Analyst,FinEdge,/finedge.png,Mid Level,3,2025-11-25,"London, UK",Full-time,65000 - 85000,3-5 years,28-40 years,Master's degree,We are looking for a Business Analyst to join our team at FinEdge.,Liaising with stakeholders to understand their requirements. | Analyzing and documenting business processes. | Identifying areas for improvement and suggesting solutions.,A degree in business or a related field. | Experience in business analysis or a related field. | Excellent communication and interpersonal skills.,Business Administration | Finance | Economics,FinEdge,FinEdge is a leader in the Finance industry.,500-1000,Finance,https://finedge.com
33,Systems Administrator,Health Plus,/healthplus.png,Mid Level,2,2025-12-10,"Toronto, Canada",Full-time,70000 - 90000,3-5 years,,Bachelor's degree,We are looking for a Systems Administrator to join our team at Health Plus.,Install and configure software and hardware. | Manage network servers and technology tools. | Set up accounts and workstations.,"Proven experience as a System Administrator, Network Administrator or similar role. | Experience with databases, networks (LAN, WAN) and patch management. | Knowledge of system security (e.g. intrusion detection systems) and data backup/recovery.",Information Technology | Computer Science | Network Engineering,Health Plus,Health Plus is a leader in the Healthcare industry.,1000-5000,Healthcare,https://healthplus.com
34,Network Engineer,BuildRight,/buildright.png,Senior Level,1,2025-11-30,"Sydney, Australia",Full-time,80000 - 110000,5-10 years,30-50 years,Bachelor's degree,We are looking for a Network Engineer to join our team at BuildRight.,"Design and implement new network solutions and/or improve the efficiency of current networks. | Install, configure and support network equipment including routers, proxy servers, switches, WAN accelerators, DNS and DHCP. | Procure network equipment and manage subcontractors involved with network installation.","Proven hands-on network engineering experience. | CCNP or higher (CCIE and/or CISSP highly valued). | Deep understanding of networking protocols (e.g., IPSEC, HSRP, BGP, OSPF, 802.11, QoS).",Computer Science | Electrical Engineering | Information Technology,BuildRight,BuildRight is a leader in the Construction industry.,500-1000,Construction,https://buildright.com
35,Database Administrator,EduWorld,/eduworld.png,Mid Level,2,2025-12-15,"New York, USA",Full-time,75000 - 95000,3-5 years,,Bachelor's degree,We are looking for a Database Administrator to join our team at EduWorld.,"Build database systems of high availability and quality depending on each end user's specialised role. | Design and implement database in accordance to end users information needs and views. | Define users and enable data distribution to the right user, in appropriate format and in a timely manner.","Proven working experience as a Database administrator. | Hands-on experience with database standards and end user applications. | Excellent knowledge of data backup, recovery, security, integrity and SQL.",Computer Science | Information Systems | Software Engineering,EduWorld,EduWorld is a leader in the Education industry.,1000-5000,Education,https://eduworld.com
36,IT Support Specialist,DesignHub,/designhub.png,Entry Level,4,2025-12-05,"Berlin, Germany",Full-time,45000 - 60000,1-3 years,22-35 years,Bachelor's degree,We are looking for an IT Support Specialist to join our team at DesignHub.,Serve as the first point of contact for customers seeking technical assistance over the phone or email. | Perform remote troubleshooting through diagnostic techniques and pertinent questions. | Determine the best solution based on the issue and details provided by customers.,"Proven experience as an IT Support Specialist or other customer support role. | Tech savvy with working knowledge of office automation products, databases and remote control. | Good understanding of computer systems, mobile devices and other tech products.",Information Technology | Computer Science | Customer Service,DesignHub,DesignHub is a leader in the Creative industry.,500-1000,Creative,https://designhub.com
37,Medical Doctor,Health Plus,/healthplus.png,Senior Level,3,2026-01-15,"Bangkok, Thailand",Full-time,120000 - 200000,5-10 years,,PhD,We are looking for an experienced Medical Doctor to join our team at Health Plus.,Diagnose and treat various medical conditions. | Prescribe medication and provide medical advice to patients. | Collaborate with other healthcare professionals to provide the best care.,Medical degree (MD or equivalent). | Valid medical license to practice. | Specialization in a particular field is a plus.,Medicine | Surgery | Internal Medicine,Health Plus,Health Plus is a leader in the Healthcare industry.,1000-5000,Healthcare,https://healthplus.com
38,Research Scientist,Innovate Inc.,/innovateinc.png,Senior Level,2,2025-12-20,"San Francisco, USA",Full-time,90000 - 130000,5-10 years,,PhD,We are looking for a Research Scientist to join our team at Innovate Inc.,Conduct research in a specific scientific field. | Analyze data and publish research findings. | Collaborate with other researchers and scientists.,PhD in a relevant scientific field. | Proven track record of research and publications. | Strong analytical and problem-solving skills.,Computer Science | Physics | Biology,Innovate Inc.,Innovate Inc. is a leader in the Technology industry.,500-1000,Technology,https://innovateinc.com
39,Lab Technician,GreenSolutions,/greensolutions.png,Entry Level,3,2025-11-28,"Paris, France",Full-time,40000 - 55000,1-3 years,22-30 years,Bachelor's degree,We are looking for a Lab Technician to join our team at GreenSolutions.,Perform laboratory tests and experiments. | Maintain lab equipment and supplies. | Record and analyze data.,Bachelor's degree in a scientific field. | Experience working in a laboratory setting. | Attention to detail and accuracy.,Chemistry | Biology | Environmental Science,GreenSolutions,GreenSolutions is a leader in the Environmental industry.,100-500,Environmental,https://greensolutions.com
40,Sales Representative,AutoDrive,/autodrive.png,Mid Level,5,2025-12-12,"Dubai, UAE",Full-time,50000 - 70000,3-5 years,,Bachelor's degree,We are looking for a Sales Representative to join our team at AutoDrive.,Sell products and services to customers. | Build and maintain relationships with clients. | Meet sales targets and goals.,Proven sales experience. | Excellent communication and negotiation skills. | Ability to work independently and as part of a team.,Marketing | Business Administration | Sales,AutoDrive,AutoDrive is a leader in the Automotive industry.,1000-5000,Automotive,https://autodrive.com
41,Marketing Manager,FoodieFinds,/foodiefinds.png,Senior Level,1,2025-12-18,"Mumbai, India",Full-time,80000 - 110000,5-10 years,30-45 years,Master's degree,We are looking for a Marketing Manager to join our team at FoodieFinds.,Develop and implement marketing strategies. | Manage marketing campaigns and budgets. | Analyze market trends and customer insights.,Master's degree in marketing or a related field. | Proven experience as a marketing manager. | Strong leadership and communication skills.,Marketing | Business Administration | Communications,FoodieFinds,FoodieFinds is a leader in the Food & Beverage industry.,500-1000,Food & Beverage,https://foodiefinds.com
42,Operations Manager,BuildRight,/buildright.png,Senior Level,1,2026-01-10,"London, UK",Full-time,90000 - 120000,5-10 years,,Bachelor's degree,We are looking for an Operations Manager to join our team at BuildRight.,Manage day-to-day operations. | Improve operational efficiency and processes. | Ensure compliance with safety and quality standards.,Bachelor's degree in business administration or a related field. | Proven experience as an operations manager. | Strong leadership and problem-solving skills.,Business Administration | Operations Management | Engineering,BuildRight,BuildRight is a leader in the Construction industry.,1000-5000,Construction,https://buildright.com
43,Project Manager,Tech Corp,/techcorp.png,Mid Level,3,2025-12-22,"Berlin, Germany",Full-time,75000 - 95000,3-5 years,28-40 years,Bachelor's degree,We are looking for a Project Manager to join our team at Tech Corp.,Plan and manage projects from start to finish. | Coordinate with cross-functional teams. | Ensure projects are delivered on time and within budget.,Bachelor's degree in a related field. | PMP certification is a plus. | Proven experience in project management.,Project Management | Business Administration | Computer Science,Tech Corp,Tech Corp is a leader in the Technology industry.,1000-5000,Technology,https://techcorp.com
44,Logistics Coordinator,AutoDrive,/autodrive.png,Entry Level,2,2025-12-08,"Tokyo, Japan",Full-time,45000 - 60000,1-3 years,,Bachelor's degree,We are looking for a Logistics Coordinator to join our team at AutoDrive.,Coordinate and monitor supply chain operations. | Ensure timely delivery of goods. | Manage inventory and logistics documentation.,Bachelor's degree in supply chain management or a related field. | Experience in logistics or a related field. | Strong organizational and communication skills.,Supply Chain Management | Logistics | Business Administration,AutoDrive,AutoDrive is a leader in the Automotive industry.,1000-5000,Automotive,https://autodrive.com
45,Supply Chain Manager,GreenSolutions,/greensolutions.png,Senior Level,1,2026-01-05,Singapore,Full-time,90000 - 120000,5-10 years,35-50 years,Master's degree,We are looking for a Supply Chain Manager to join our team at GreenSolutions.,Manage the entire supply chain from procurement to delivery. | Optimize supply chain processes and reduce costs. | Collaborate with suppliers and partners.,Master's degree in supply chain management or a related field. | Proven experience as a supply chain manager. | Strong analytical and negotiation skills.,Supply Chain Management | Business Administration | Logistics,GreenSolutions,GreenSolutions is a leader in the Environmental industry.,500-1000,Environmental,https://greensolutions.com
46,AI Specialist,Innovate Inc.,/innovateinc.png,Mid Level,4,2025-12-28,"San Francisco, USA",Full-time,100000 - 140000,3-5 years,,Master's degree,We are looking for an AI Specialist to join our team at Innovate Inc.,Develop and implement AI models and algorithms. | Work with large datasets to train and validate models. | Collaborate with software engineers to integrate AI solutions.,"Master's or PhD in Computer Science, AI, or a related field. | Experience with machine learning frameworks like TensorFlow or PyTorch. | Strong programming skills in Python or C++.",Artificial Intelligence | Computer Science | Machine Learning,Innovate Inc.,Innovate Inc. is a leader in the Technology industry.,500-1000,Technology,https://innovateinc.com
47,Robotics Engineer,AutoDrive,/autodrive.png,Senior Level,2,2026-01-20,"Tokyo, Japan",Full-time,90000 - 130000,5-10 years,,Master's degree,We are looking for a Robotics Engineer to join our team at AutoDrive.,"Design, build, and test robotic systems. | Develop software for robotic control and automation. | Troubleshoot and maintain robotic equipment.","Bachelor's or Master's degree in Robotics, Mechanical Engineering, or a related field. | Experience with ROS (Robot Operating System). | Strong knowledge of kinematics, dynamics, and control systems.",Robotics | Mechanical Engineering | Electrical Engineering,AutoDrive,AutoDrive is a leader in the Automotive industry.,1000-5000,Automotive,https://autodrive.com
48,Biomedical Engineer,Health Plus,/healthplus.png,Mid Level,3,2026-01-12,"Toronto, Canada",Full-time,70000 - 95000,3-5 years,,Master's degree,We are looking for a Biomedical Engineer to join our team at Health Plus.,Design and develop medical devices and equipment. | Conduct research to solve clinical problems. | Ensure compliance with regulatory standards.,Bachelor's or Master's degree in Biomedical Engineering. | Experience in medical device design and development. | Knowledge of FDA regulations and ISO standards.,Biomedical Engineering | Mechanical Engineering | Electrical Engineering,Health Plus,Health Plus is a leader in the Healthcare industry.,1000-5000,Healthcare,https://healthplus.com
49,Environmental Scientist,GreenSolutions,/greensolutions.png,Mid Level,2,2025-12-25,"Paris, France",Full-time,60000 - 80000,3-5 years,,Master's degree,We are looking for an Environmental Scientist to join our team at GreenSolutions.,Conduct environmental impact assessments. | Develop strategies for environmental protection and sustainability. | Monitor pollution levels and identify sources.,Bachelor's or Master's degree in Environmental Science or a related field. | Experience in environmental consulting or research. | Knowledge of environmental regulations and policies.,Environmental Science | Biology | Chemistry,GreenSolutions,GreenSolutions is a leader in the Environmental industry.,100-500,Environmental,https://greensolutions.com
50,Food Scientist,FoodieFinds,/foodiefinds.png,Mid Level,2,2026-01-08,"Mumbai, India",Full-time,65000 - 85000,3-5 years,,Master's degree,We are looking for a Food Scientist to join our team at FoodieFinds.,Develop new food products and improve existing ones. | Ensure food safety and quality standards are met. | Conduct sensory evaluations and shelf-life studies.,Bachelor's or Master's degree in Food Science or a related field. | Experience in food product development. | Knowledge of food processing and preservation techniques.,Food Science | Chemistry | Microbiology,FoodieFinds,FoodieFinds is a leader in the Food & Beverage industry.,500-1000,Food & Beverage,https://foodiefinds.com
51,Blockchain Developer,FinEdge,/finedge.png,Senior Level,2,2026-02-01,Singapore,Full-time,110000 - 150000,5-10 years,,Bachelor's degree,We are looking for a Blockchain Developer to join our team at FinEdge.,Design and implement blockchain-based applications. | Develop smart contracts and web3 integrations. | Research new blockchain technologies and trends.,"Bachelor's or Master's degree in Computer Science or a related field. | Experience with blockchain platforms like Ethereum or Hyperledger. | Strong programming skills in Solidity, Go, or Rust.",Computer Science | Software Engineering | Cryptography,FinEdge,FinEdge is a leader in the Finance industry.,500-1000,Finance,https://finedge.com
